,long,lat,OBJECTID,Snow,Ice,ID_Map,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
11,515864.7432000006,6893622.0757,13,10.0,,,-20.693659782409668,-31.548702716827393,-32.20633029937744,-20.49506902694702,1.0211167335510254,0.287966787815094,0.2615336775779724
12,515853.8301999996,6893605.982,14,14.0,,,-19.436699151992798,-31.367392539978027,-31.331074237823486,-20.182034969329834,0.9118624925613403,0.25351715087890625,0.2862069010734558
13,515838.3578000001,6893584.853700002,15,14.0,,,-19.93825078010559,-30.30334234237671,-31.45728826522827,-20.16774892807007,1.0027683973312378,0.32293349504470825,0.282905638217926
14,515824.0604999998,6893568.5215,16,10.0,,,-20.647623538970947,-29.34793710708618,-30.563066005706787,-21.4913010597229,0.9332621693611145,0.37668347358703613,0.35260993242263794
15,515808.41110000096,6893551.737300001,17,10.0,,,-19.842888116836548,-29.435791969299316,-30.690667629241943,-19.83899235725403,1.0091502666473389,0.33375686407089233,0.2869165539741516
16,515792.1501999998,6893532.053800002,18,10.0,,,-20.20498275756836,-31.038894653320312,-30.762686729431152,-20.201573371887207,0.9982956647872925,0.287813663482666,0.2990882396697998
17,515778.21540000016,6893516.057599999,19,10.0,,,-20.912866592407227,-31.578803062438965,-31.971964836120605,-20.813891887664795,1.0086588859558105,0.2925105094909668,0.2840913236141205
18,515763.34780000034,6893499.054499999,20,6.0,,,-20.612404346466064,-30.37195920944214,-31.85999870300293,-19.268885850906372,1.1767354011535645,0.32435736060142517,0.23368334770202637
19,515747.9577000004,6893482.383299999,21,6.0,,,-19.506479501724243,-31.040043830871582,-30.417070388793945,-18.636354207992554,1.1063510179519653,0.26632294058799744,0.26087161898612976
20,515735.67970000044,6893468.4003,22,11.0,,,-17.78479814529419,-31.22443675994873,-30.043282508850098,-17.00223445892334,1.109034538269043,0.2161230742931366,0.22381973266601562
21,515720.6053999995,6893450.950800002,23,9.0,,,-18.309792280197144,-30.134305953979492,-28.947737216949463,-17.783172130584717,1.074371337890625,0.2593105137348175,0.27821385860443115
22,515707.29290000047,6893435.403499997,24,6.0,,,-18.564225435256958,-30.178797245025635,-28.632147312164307,-18.201297521591187,1.043355107307434,0.2619747817516327,0.3010838031768799
23,515693.61820000067,6893419.297499999,25,4.0,,,-16.457865238189697,-28.614509105682373,-28.41499090194702,-17.061784267425537,0.9586713314056396,0.2601526379585266,0.2765660583972931
24,515676.5097999998,6893402.395699999,26,6.0,,,-18.760435581207275,-29.624063968658447,-28.060033321380615,-19.088698625564575,0.9835128784179688,0.2935318648815155,0.35705745220184326
25,515661.23319999984,6893383.497299998,27,10.0,,,-19.032267332077026,-30.11258840560913,-30.936503410339355,-19.71098303794861,0.9260951280593872,0.2779952585697174,0.27540725469589233
26,515645.3852000005,6893364.2621,28,4.0,,,-18.31465482711792,-29.630825519561768,-30.62307357788086,-20.502896308898926,0.7789604067802429,0.2653062343597412,0.31528908014297485
27,515621.41380000045,6893344.655099999,29,11.0,,,-17.760201692581177,-31.231606006622314,-31.108808517456055,-18.043289184570312,0.9715011119842529,0.21247489750385284,0.22189565002918243
28,515613.0610999999,6893326.3459,30,9.0,,,-18.413591384887695,-32.123730182647705,-29.20302152633667,-19.093680381774902,0.9184412360191345,0.20176713168621063,0.31980228424072266
29,515612.7944999997,6893327.681600001,31,7.0,,,-18.413591384887695,-32.123730182647705,-29.20302152633667,-19.093680381774902,0.9184412360191345,0.20176713168621063,0.31980228424072266
30,515612.7944999997,6893327.681600001,32,17.0,,,-18.413591384887695,-32.123730182647705,-29.20302152633667,-19.093680381774902,0.9184412360191345,0.20176713168621063,0.31980228424072266
31,515567.88389999943,6893274.4452,33,6.0,75,,-19.12423849105835,-30.849361419677734,-30.137479305267334,-18.407379388809204,1.0831478834152222,0.26190245151519775,0.2652849853038788
32,515550.5832000002,6893253.755399999,34,13.0,69,,-16.54141068458557,-30.668277740478516,-29.368596076965332,-16.688402891159058,0.9771998524665833,0.1986134648323059,0.23490728437900543
33,515531.5986000004,6893236.7343999995,35,10.0,73,,-17.795965671539307,-30.937390327453613,-29.282636642456055,-16.985785961151123,1.099320411682129,0.22839045524597168,0.25054222345352173
34,515511.2699999994,6893217.4791,36,6.0,80,,-19.703378677368164,-30.092318058013916,-32.057859897613525,-18.250272274017334,1.198865294456482,0.30690282583236694,0.2043374627828598
