,long,lat,OBJECTID_1,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,462005.4991871391,6896926.356165986,1,S_Core_2,75,2,-15.575295686721802,-31.302294731140137,-31.332340240478516,-14.63935375213623,1.1066328287124634,0.1647038459777832,0.14993759989738464
1,464881.75401173485,6897914.630603448,2,S_Core_3,76,2,-13.58022928237915,-28.81117582321167,-29.162745475769043,-12.79963731765747,1.110636591911316,0.17801618576049805,0.15353602170944214
2,465999.3312490516,6900044.945859712,3,S_Core_5,76,9,-17.686965465545654,-31.426851749420166,-30.534536838531494,-17.54092812538147,1.0167814493179321,0.20549561083316803,0.22523771226406097
3,468050.8437447283,6900212.460615371,4,S_Core_1,79,2,-10.654836893081665,-24.93696689605713,-25.605459213256836,-10.925987958908081,0.9714438915252686,0.1950538158416748,0.18570978939533234
4,467968.6716042514,6902067.1333837835,5,S_Core_4,78,2,-14.99554991722107,-30.160155296325684,-31.505718231201172,-14.516640901565552,1.0948007106781006,0.1824597418308258,0.1427004188299179
5,464009.40907769196,6898994.402228312,6,S_2,71,6,-15.074163675308228,-30.555057525634766,-30.723600387573242,-15.504227876663208,1.0159430503845215,0.18282268941402435,0.17465919256210327
6,468985.23047316284,6901978.833403342,7,S_17,75,6,-12.919584512710571,-26.58919334411621,-27.035646438598633,-13.109461069107056,0.9803359508514404,0.20676755905151367,0.20331943035125732
7,468986.95476249,6901004.862513225,8,S_16,75,1,-13.168212175369263,-27.248506546020508,-27.836225032806396,-12.52636194229126,1.074044942855835,0.1970653235912323,0.17266836762428284
8,467984.651734637,6901022.940798576,9,S_14,80,1,-13.720943927764893,-28.104839324951172,-27.8416109085083,-13.624143600463867,1.0233415365219116,0.19473566114902496,0.19900189340114594
9,466997.055947539,6901014.100473075,10,S_13,80,4,-17.236626148223877,-29.526519775390625,-30.825059413909912,-17.79382824897766,0.9305197596549988,0.2435951977968216,0.22772625088691711
10,465987.16888437,6901006.777864657,11,S_12,80,8,-17.757713794708252,-29.95934247970581,-31.333417892456055,-18.006582260131836,0.9719061255455017,0.2455766201019287,0.2142133116722107
11,464977.04530145926,6899998.942097064,12,S_10,76,4,-17.740195989608765,-31.849098205566406,-31.44695520401001,-18.426308631896973,0.9306231737136841,0.19910115003585815,0.22334498167037964
12,466000.162753888,6898999.893630719,13,S_11,68,3,-15.714266300201416,-28.265702724456787,-28.913161754608154,-15.7710599899292,0.9820424318313599,0.238399475812912,0.22622163593769073
13,461051.32441174594,6896063.820963291,14,S_7,75,1,-18.13931703567505,-31.41483783721924,-30.82179069519043,-18.25637936592102,1.0055928230285645,0.2221786081790924,0.23771442472934723
14,460956.9789394857,6896927.593041483,15,S_8,76,2,-17.806812524795532,-30.790679454803467,-30.10856866836548,-17.153624296188354,1.08603036403656,0.22521257400512695,0.22540205717086792
15,462284.3270750038,6895849.590846729,16,S_6,71,2,-12.063366174697876,-28.506321907043457,-29.589626789093018,-12.621424198150635,0.9396400451660156,0.15184424817562103,0.14420193433761597
16,462959.76429336175,6896918.131991952,17,S_5,66,3,-13.714067935943604,-29.545714855194092,-30.157675743103027,-14.112551212310791,0.9549529552459717,0.1619810163974762,0.15574544668197632
17,462975.41074879846,6897910.757424617,18,S_4,68,6,-15.21411657333374,-29.546597003936768,-29.83377456665039,-14.439133405685425,1.0928150415420532,0.19199895858764648,0.1699802279472351
18,463955.4928836885,6897960.286046651,19,S_3,66,4,-15.835747718811035,-29.56347942352295,-29.690654277801514,-14.98317003250122,1.1105457544326782,0.2093150019645691,0.18444406986236572
19,465059.94568166975,6898985.451280954,20,S_9,67,11,-15.513701438903809,-32.203824520111084,-30.349888801574707,-16.68466806411743,0.8839118480682373,0.14631588757038116,0.20509055256843567
20,466214.3350259939,6897898.9957298525,21,S_1,75,3,-14.427076578140259,-28.833775520324707,-27.891011238098145,-15.144927501678467,0.9247320890426636,0.190644770860672,0.23097723722457886
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20170130/RS2_20170130_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_S_thicknesses_WGS84.shp
