,long,lat,ID_1,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,661295.2274479484,6837998.532481785,1.0,99.0,37.0,-18.29527258872986,-28.851821422576904,-26.82828426361084,-17.031699419021606,1.1601004600524902,0.2981695532798767,0.320703387260437
1,660022.3944014275,6836965.027063497,2.0,100.0,14.0,-16.213759183883667,-26.977379322052002,-27.68489122390747,-17.153674364089966,0.9065704345703125,0.29418933391571045,0.3062625229358673
2,659779.3843193839,6833322.2808325,9.0,101.0,20.0,-23.176662921905518,-29.77505922317505,-32.078919410705566,-22.442617416381836,1.0910815000534058,0.4705854058265686,0.3279525935649872
3,656883.4884462712,6832717.749167499,5.0,92.0,15.0,-21.18931770324707,-30.81730842590332,-32.334957122802734,-20.354130268096924,1.083241581916809,0.33027878403663635,0.26100754737854004
4,658415.8940093657,6834645.067201827,7.0,106.0,14.0,-22.850189208984375,-29.4907283782959,-30.981523990631104,-20.852699279785156,1.266940712928772,0.4658372700214386,0.3116377294063568
5,660007.269874745,6834012.613778446,12.0,95.0,40.0,-22.02888250350952,-31.839101314544678,-30.125296115875244,-22.76291847229004,0.9241124391555786,0.32563742995262146,0.4295752942562103
6,658948.7056578739,6834042.452780166,13.0,105.0,43.0,-19.217206239700317,-29.942049980163574,-28.84591817855835,-18.307607173919678,1.102170467376709,0.2905169725418091,0.3002551198005676
7,658059.4205628065,6833989.334863146,18.0,84.0,39.0,-22.90710687637329,-30.025932788848877,-31.792213916778564,-22.83935546875,1.0110630989074707,0.4415386915206909,0.35702386498451233
8,657709.6314272142,6832263.803515102,2.0,99.0,33.0,-18.89660954475403,-31.831581592559814,-30.008244514465332,-21.629014015197754,0.7163376808166504,0.22543972730636597,0.3974474370479584
9,655991.4404619181,6832945.696287633,3.0,89.0,17.0,-20.54187536239624,-31.95831060409546,-31.551568508148193,-20.071918964385986,1.0925675630569458,0.2795640230178833,0.26670902967453003
10,657072.6943940878,6834329.672373873,14.0,108.0,8.0,-20.022144317626953,-31.181864738464355,-31.47390365600586,-20.625743865966797,0.9359927773475647,0.2802964746952057,0.2894194722175598
11,657033.649410901,6835006.639894852,15.0,105.0,22.0,-19.170997142791748,-30.145697593688965,-30.4634428024292,-19.749003648757935,0.9327297210693359,0.2860924303531647,0.29819774627685547
12,658149.0400302376,6835097.186195352,17.0,109.0,24.0,-16.80946946144104,-28.435404300689697,-28.443753719329834,-16.415756940841675,1.0497092008590698,0.26380619406700134,0.24993689358234406
13,659048.2071772028,6834968.974012386,19.0,102.0,30.0,-20.08948564529419,-29.37734603881836,-28.49555492401123,-17.657008171081543,1.3353822231292725,0.347117155790329,0.2858271300792694
14,660615.7760635184,6833527.412155874,1.0,101.0,30.0,-21.029021739959717,-29.301345348358154,-30.935001373291016,-23.36015224456787,0.7925646305084229,0.3976518213748932,0.41575920581817627
15,660010.4101251117,6834973.532240087,7.0,95.0,28.0,-16.59913659095764,-27.70711898803711,-27.883822917938232,-16.47646188735962,1.0277550220489502,0.2870275378227234,0.2715071141719818
16,660920.1663349621,6834967.767839239,5.0,95.0,28.0,-15.583834648132324,-28.45304250717163,-28.435726165771484,-15.176435708999634,1.0870485305786133,0.2423897385597229,0.22371703386306763
17,661215.5656988949,6835994.115331377,21.0,94.0,29.0,-16.387851238250732,-27.80153751373291,-28.082594871520996,-17.160426378250122,0.9309102296829224,0.2780584692955017,0.2917748987674713
18,660068.4111864846,6836156.64154599,11.0,100.0,11.0,-16.894034147262573,-28.008131980895996,-27.66279697418213,-14.627234935760498,1.313928246498108,0.27752771973609924,0.22340422868728638
19,659010.3457233276,6835935.351057985,10.0,100.0,36.0,-16.621651649475098,-27.22287893295288,-28.056535720825195,-14.641038179397583,1.2621289491653442,0.2976666986942291,0.21775417029857635
20,657983.1259404134,6835925.176342195,20.0,104.0,17.0,-18.12494993209839,-27.829675674438477,-27.73815155029297,-16.5773606300354,1.1915018558502197,0.32898905873298645,0.28191083669662476
21,657053.4275619561,6835835.307717802,16.0,109.0,9.0,-21.310689449310303,-29.76912021636963,-30.796141624450684,-22.604360580444336,0.8915804624557495,0.39765170216560364,0.39336198568344116
22,658949.1919502795,6837030.273440688,9.0,105.0,24.0,-15.03347635269165,-26.6707706451416,-25.86695909500122,-15.793147087097168,0.9288467764854431,0.2647113502025604,0.3149794638156891
23,660036.3445249167,6838033.989792273,8.0,116.0,11.0,-17.33692765235901,-25.559136867523193,-25.67171812057495,-16.32719397544861,1.1370654106140137,0.40131622552871704,0.3485065698623657
24,660989.1426483484,6836971.216934867,6.0,100.0,48.0,-16.656447649002075,-26.558220386505127,-28.674604892730713,-16.86260223388672,0.9851670861244202,0.33354640007019043,0.2713536024093628
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20170416/RS2_20170416_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_K_thicknesses_WGS84.shp
