,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,661353.7522999996,6836709.4931,1,1,76,22,-18.64560604095459,-28.040032386779785,-30.169992446899414,-17.416194677352905,1.180836796760559,0.3516687750816345,0.23229677975177765
1,661351.4512999998,6837359.7365999995,2,2,71,14,-16.22311234474182,-29.19100284576416,-30.209364891052246,-17.887026071548462,0.8299267888069153,0.2287997156381607,0.2445262223482132
2,661345.5557999999,6837406.312699999,3,3,65,18,-16.13216519355774,-29.274024963378906,-28.552215099334717,-15.972790718078613,1.0213228464126587,0.21879158914089203,0.23565779626369476
3,661342.1090000002,6836856.197399999,4,4,79,14,-16.08375310897827,-28.470439910888672,-29.002065658569336,-15.283310413360596,1.0899527072906494,0.24083662033081055,0.2077827751636505
4,660752.0865000002,6833532.6411000015,5,5,76,22,-18.86590003967285,-28.892199993133545,-28.4787654876709,-17.962876558303833,1.116678237915039,0.31918570399284363,0.3039935231208801
5,660361.6457,6833514.592300002,6,6,77.5,25.5,-17.90905475616455,-27.436659336090088,-28.20042610168457,-17.580101490020752,1.05668044090271,0.3379412293434143,0.2941972017288208
6,659912.6276000004,6833498.224,7,7,81.5,21,-16.1587655544281,-28.63215923309326,-28.23209524154663,-17.268859148025513,0.8919858932495117,0.23970633745193481,0.2827468812465668
7,658920.6308000013,6833403.7776999995,8,8,76.5,19,-22.05235242843628,-28.241734504699707,-28.650329113006592,-21.776511669158936,1.03571617603302,0.49366676807403564,0.4591495096683502
8,657964.6127000003,6832707.0253,9,9,68,26,-19.736971855163574,-30.39095401763916,-32.69580841064453,-17.72801637649536,1.2589422464370728,0.29104647040367126,0.17808526754379272
9,657968.8831999998,6832713.578699999,10,10,62,32,-19.683456420898438,-30.59333562850952,-32.23222494125366,-18.075079917907715,1.2039490938186646,0.2847188711166382,0.1967994123697281
10,657976.9477999998,6832710.378199997,11,11,71,30,-19.694581031799316,-30.896623134613037,-32.3482608795166,-18.53625774383545,1.1421021223068237,0.2751474976539612,0.20440596342086792
11,657970.8152999997,6832706.193599999,12,12,70,30,-19.736971855163574,-30.39095401763916,-32.69580841064453,-17.72801637649536,1.2589422464370728,0.29104647040367126,0.17808526754379272
12,657734.8932000002,6832857.928800003,13,13,67.5,16,-19.51139211654663,-30.988457202911377,-31.12130880355835,-18.707070350646973,1.105705976486206,0.2766953706741333,0.24921734631061554
13,657424.0245000004,6833051.436099999,14,14,68,16,-19.464144706726074,-29.952268600463867,-28.616056442260742,-20.05610466003418,0.9647118449211121,0.31127768754959106,0.37526240944862366
14,657147.6514000001,6833276.990800001,15,15,73,16,-16.774269342422485,-31.18274688720703,-28.964147567749023,-18.662259578704834,0.8080013394355774,0.1917678564786911,0.3057093620300293
15,661306.334,6836043.538199998,16,A,92,6,-16.74836039543152,-28.281428813934326,-28.32864761352539,-15.61391830444336,1.1496011018753052,0.259621262550354,0.2316448986530304
16,661280.4584000001,6838003.418900002,17,B,74,,-19.402631521224976,-29.123122692108154,-30.738747119903564,-17.563403844833374,1.2467775344848633,0.3283098340034485,0.21965332329273224
17,657964.0270999997,6832719.826200001,18,C,71,19,-19.317139387130737,-30.129213333129883,-31.679072380065918,-18.307307958602905,1.1291513442993164,0.28934115171432495,0.21474498510360718
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20160116/RS2_20160116_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1601_K_thicknesses_WGS84.shp
