,long,lat,Name,ID_1,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,462063.4926545833,6895754.026439407,480,1,6,134,-19.97771978378296,-31.222834587097168,-31.255881786346436,-19.238873720169067,1.0871909856796265,0.2731485962867737,0.2513049244880676
1,461188.9042994109,6896128.638239772,481,2,12,135,-17.87293791770935,-30.883095264434814,-31.824581623077393,-18.403897285461426,0.9473612904548645,0.22581177949905396,0.21319104731082916
2,460519.09569173906,6896651.2609412195,482,3,2,132,-18.83908748626709,-31.61818027496338,-31.24803066253662,-18.966236114501953,0.9997376203536987,0.23384475708007812,0.24434787034988403
3,462434.5380436097,6896666.355006023,483,4,4,136,-18.063243627548218,-31.788599491119385,-32.0402455329895,-17.402212619781494,1.0725008249282837,0.20421141386032104,0.18574638664722443
4,463506.0261726894,6896861.697781819,484,6,12,131,-19.169453382492065,-30.603582859039307,-30.819988250732422,-18.733854293823242,1.032684326171875,0.271502286195755,0.2654069662094116
5,463614.2988664815,6897747.148757119,485,7,15,133,-20.552289485931396,-31.456804275512695,-31.545352935791016,-20.10026216506958,1.0942264795303345,0.29732489585876465,0.269365519285202
6,462638.5004379502,6897930.854478404,486,5,12,133,-17.34969973564148,-29.940688610076904,-32.00721979141235,-18.08180332183838,0.9348196387290955,0.247140035033226,0.20672167837619781
7,464030.954308998,6898757.420082252,487,8,10,127,-18.49478244781494,-32.15568780899048,-32.100749015808105,-19.204957485198975,0.9211959838867188,0.20840531587600708,0.22669845819473267
8,464419.66449715797,6898021.4221781455,488,9,7,136,-17.994718551635742,-31.123874187469482,-31.47239923477173,-18.254154920578003,0.9688365459442139,0.2195785790681839,0.21969157457351685
9,465078.70205264416,6897488.994481897,489,10,4,137,-18.619604110717773,-32.135047912597656,-31.183457374572754,-18.76332998275757,0.9891684055328369,0.21472860872745514,0.24247439205646515
10,465101.8261153256,6898314.875346085,490,11,12,134,-18.83760690689087,-32.75452136993408,-32.28241443634033,-19.75045084953308,0.9027411937713623,0.2050129920244217,0.2379613220691681
11,466283.00547246065,6898055.732428919,491,13,2,135,-20.301096439361572,-31.59947395324707,-32.012293338775635,-19.689209461212158,1.0775740146636963,0.27302467823028564,0.2422262281179428
12,468668.9283123334,6900365.190360783,270,19,8,130,-19.27541494369507,-30.920755863189697,-30.649054050445557,-19.03276562690735,1.0288928747177124,0.26179561018943787,0.26382124423980713
13,468460.65971179225,6901142.44559216,271,20,18,133,-21.326112747192383,-33.041298389434814,-32.1518874168396,-21.840693950653076,0.9661315083503723,0.26684150099754333,0.30470365285873413
14,469669.7965152471,6901532.629138277,272,22,9,130,-20.850327014923096,-33.111586570739746,-31.16947889328003,-19.657222032546997,1.1549979448318481,0.24420271813869476,0.265320360660553
15,470918.2941434522,6901929.811111205,273,24,13,129,-19.88358497619629,-31.413376331329346,-32.66511678695679,-20.83824634552002,0.8986587524414062,0.26626408100128174,0.2503899037837982
16,469449.4381294469,6902493.982476966,274,23,6,128,-19.18781042098999,-31.46052837371826,-30.98001480102539,-19.04912829399109,1.0402607917785645,0.2481701374053955,0.2513454258441925
17,467097.99446268316,6901488.505654853,275,18,19,134,-21.710383892059326,-33.36722373962402,-32.06734657287598,-22.402684688568115,0.922257125377655,0.2561759352684021,0.34691107273101807
18,466041.02402006224,6900936.155610287,276,16,30,132,-20.87878704071045,-30.546367168426514,-30.97144365310669,-20.860798358917236,0.9971802234649658,0.32945939898490906,0.3211638629436493
19,466061.4688664448,6900005.324569713,277,15,4,133,-21.823570728302002,-32.97740936279297,-33.14397096633911,-20.766916275024414,1.1337695121765137,0.2752237915992737,0.241542786359787
20,467201.70131114614,6900245.364751172,278,17,8,132,-21.323556900024414,-32.38527774810791,-31.985478401184082,-22.260570526123047,0.908801794052124,0.2844141721725464,0.32842862606048584
21,466077.46103383385,6899115.985018583,279,14,14,135,-19.445812702178955,-30.582845211029053,-33.59802722930908,-20.34501552581787,0.9002425670623779,0.2766602039337158,0.21862423419952393
22,465035.5690598987,6899482.271570946,280,12,24,133,-20.53717851638794,-30.536258220672607,-31.421701908111572,-20.937793254852295,0.9657914042472839,0.32032275199890137,0.2990438938140869
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20180501/RS2_20180501_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_S_thicknesses_WGS84.shp
