 ,X,Y
1,673,870
2,638,842
3,605,816
4,578,794
5,551,773
6,542,765
7,531,754
8,521,743
9,513,727
10,493,698
11,480,673
12,464,651
13,449,629
14,433,610
15,417,593
16,397,573
17,378,556
18,358,534
19,341,524
20,329,513
21,324,503
22,320,489
23,320,475
24,323,459
25,327,435
26,331,403
27,335,362
28,337,325
29,342,252
30,344,156
31,346,61
32,347,2
