,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,519332.38716423244,6888685.501508799,1,D_Core_5,63,13.0,-15.142771005630493,-28.890490531921387,-29.5925235748291,-14.849710464477539,1.0394675731658936,0.20631006360054016,0.18576616048812866
1,516277.6373424541,6891447.962216609,2,D_Core_4,65,5.0,-13.302655220031738,-26.47526741027832,-27.075693607330322,-13.114469051361084,1.0207810401916504,0.2161458134651184,0.2013191431760788
2,514948.4007238191,6892850.198331225,3,D_Core_1,69,6.0,-14.16581392288208,-30.75153350830078,-28.635735511779785,-15.00833511352539,0.9101382493972778,0.152212455868721,0.21621130406856537
3,513742.52205647307,6894879.217328449,4,D_Core_2,59,11.0,-16.496779918670654,-28.30106496810913,-28.401963710784912,-15.073821544647217,1.1905187368392944,0.257109135389328,0.21375726163387299
4,512830.5401840521,6895785.469722188,5,D_Core_3,,10.0,-15.042585134506226,-25.714290142059326,-26.074552536010742,-14.41287636756897,1.0622440576553345,0.29718926548957825,0.27462029457092285
5,515829.39798764547,6891107.828334209,6,D_1,65,3.0,-13.177933692932129,-26.976807117462158,-27.82463788986206,-13.12267780303955,1.0052769184112549,0.20673197507858276,0.1872376650571823
6,515769.6700395532,6891576.786960879,7,D_2,64,3.0,-11.810020208358765,-25.896599292755127,-25.87592601776123,-12.841871976852417,0.9122174978256226,0.2039991021156311,0.2235300987958908
7,516142.4380502241,6893021.023806912,8,D_3,61,10.0,-13.790144920349121,-30.079498291015625,-29.60559368133545,-14.830095767974854,0.895262598991394,0.15571971237659454,0.18841060996055603
8,517230.6176254167,6890886.19454344,9,D_18,65,10.0,-16.766908168792725,-30.331437587738037,-29.80301856994629,-16.956961154937744,0.9755605459213257,0.20680943131446838,0.2281716763973236
9,517934.1542928611,6890816.775112217,10,D_17,55,10.0,-17.664432525634766,-29.758496284484863,-31.058049201965332,-16.83460235595703,1.1179825067520142,0.25318261981010437,0.1943705528974533
10,517927.19061532937,6890144.963722541,11,D_15,61,8.0,-16.438074111938477,-30.218262672424316,-29.52174425125122,-16.152256727218628,1.0379642248153687,0.20558284223079681,0.21340647339820862
11,518219.77878078574,6889764.4086115565,12,D_14,62,9.0,-17.755271196365356,-29.586637020111084,-28.82169246673584,-17.410281896591187,1.050193428993225,0.2597792148590088,0.26995524764060974
12,518226.34133034945,6888914.867388696,13,D_12,66,4.0,-14.660537242889404,-27.097837924957275,-26.37058973312378,-14.604977369308472,0.997408926486969,0.24131332337856293,0.26836249232292175
13,519417.88290508866,6888419.955430252,14,D_13,56.5,9.0,-17.211467027664185,-29.453718662261963,-29.905407428741455,-17.20537543296814,1.000450611114502,0.25058335065841675,0.23731452226638794
14,517007.65531079023,6890014.098824074,15,D_11,60,5.0,-13.732256889343262,-28.316667079925537,-27.675695419311523,-14.48104977607727,0.9212810397148132,0.18706268072128296,0.21971026062965393
15,514610.7450415594,6892117.66781569,16,D_10,60,5.0,-14.138541221618652,-29.91386890411377,-28.334882259368896,-14.238831996917725,1.005758285522461,0.16763843595981598,0.1986434906721115
16,513937.75346323295,6892935.047891385,17,D_9,65,8.0,-13.314367532730103,-26.9309139251709,-26.48369789123535,-13.301228284835815,1.0173968076705933,0.21210315823554993,0.22293204069137573
17,513916.79726476525,6893968.495838048,18,D_8,65,10.0,-15.32038927078247,-27.168490886688232,-27.225513458251953,-15.108058452606201,1.0317926406860352,0.2623963952064514,0.2560923993587494
18,515007.00380025466,6893969.378006818,19,D_4,58,8.0,-15.803848505020142,-30.504391193389893,-30.1735520362854,-16.70941948890686,0.9009217023849487,0.18722179532051086,0.21511022746562958
19,515004.06302199914,6895032.986238878,20,D_5,64,10.0,-17.00252652168274,-28.970801830291748,-29.89696502685547,-16.073085069656372,1.1279116868972778,0.2551908791065216,0.20418617129325867
20,513990.5856427501,6896020.136507869,21,D_6,60,13.0,-17.096068859100342,-31.15884304046631,-31.026577949523926,-16.757408380508423,1.030914306640625,0.22013267874717712,0.21196645498275757
21,513006.7726700859,6895168.005188908,22,D_7,60,9.0,-17.979999780654907,-30.278313159942627,-29.83659267425537,-17.558740377426147,1.0793585777282715,0.255087673664093,0.25037992000579834
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20170113/RS2_20170113_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_D_thicknesses_WGS84.shp
