,long,lat,Name,ID_1,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,462063.4926545833,6895754.026439407,480,1,6,134,-20.051898956298828,-31.319119930267334,-31.17570161819458,-19.557790756225586,1.0598266124725342,0.27419912815093994,0.2659296691417694
1,461188.9042994109,6896128.638239772,481,2,12,135,-17.93834924697876,-31.348538398742676,-31.75354242324829,-18.563205003738403,0.9319082498550415,0.21619495749473572,0.22277237474918365
2,460519.09569173906,6896651.2609412195,482,3,2,132,-18.635741472244263,-31.308109760284424,-31.287822723388672,-18.850994110107422,0.9829304218292236,0.2345389723777771,0.24151577055454254
3,462434.5380436097,6896666.355006023,483,4,4,136,-18.347365856170654,-31.668541431427002,-32.012786865234375,-18.0258309841156,1.0248808860778809,0.21776770055294037,0.20715230703353882
4,463506.0261726894,6896861.697781819,484,6,12,131,-18.94656777381897,-30.90329885482788,-30.753092765808105,-18.47251296043396,1.0360828638076782,0.2562074661254883,0.2605266869068146
5,463614.2988664815,6897747.148757119,485,7,15,133,-20.073206424713135,-31.253559589385986,-31.51193380355835,-20.24527072906494,1.0208964347839355,0.2888513505458832,0.2749904692173004
6,462638.5004379502,6897930.854478404,486,5,12,133,-17.07326889038086,-29.921329021453857,-31.782491207122803,-17.943458557128906,0.9179550409317017,0.23906728625297546,0.20963190495967865
7,464030.954308998,6898757.420082252,487,8,10,127,-18.9180588722229,-31.88399314880371,-31.922297477722168,-18.956385850906372,1.0037331581115723,0.2290951907634735,0.2259836345911026
8,464419.66449715797,6898021.4221781455,488,9,7,136,-18.135617971420288,-31.524381637573242,-31.716923713684082,-18.248690366744995,0.9839248657226562,0.2143326699733734,0.21588373184204102
9,465078.70205264416,6897488.994481897,489,10,4,137,-19.00076985359192,-32.033164501190186,-31.022121906280518,-18.90721082687378,1.030248761177063,0.22952452301979065,0.2490684688091278
10,465101.8261153256,6898314.875346085,490,11,12,134,-18.597006797790527,-32.84249544143677,-31.90861940383911,-19.32603359222412,0.9201480746269226,0.19620391726493835,0.2381579577922821
11,466283.00547246065,6898055.732428919,491,13,2,135,-20.433425903320312,-31.58456802368164,-31.922380924224854,-20.140681266784668,1.0366510152816772,0.27727803587913513,0.2621544897556305
12,468668.9283123334,6900365.190360783,270,19,8,130,-19.5767879486084,-30.8789324760437,-30.78254222869873,-19.190021753311157,1.0477620363235474,0.27391037344932556,0.2666229009628296
13,468460.65971179225,6901142.44559216,271,20,18,133,-21.15609645843506,-32.8281044960022,-31.771979331970215,-21.451599597930908,0.9846531748771667,0.2683715224266052,0.3074062466621399
14,469669.7965152471,6901532.629138277,272,22,9,130,-20.63511371612549,-32.60455131530762,-31.162772178649902,-19.943865537643433,1.102352499961853,0.25600960850715637,0.2755836546421051
15,470918.2941434522,6901929.811111205,273,24,13,129,-19.668784141540527,-31.187803745269775,-31.196563243865967,-20.670065879821777,0.8920683860778809,0.2658337354660034,0.28941574692726135
16,469449.4381294469,6902493.982476966,274,23,6,128,-19.14085030555725,-31.374399662017822,-31.0443377494812,-18.886220455169678,1.0539846420288086,0.2509405314922333,0.24680547416210175
17,467097.99446268316,6901488.505654853,275,18,19,134,-21.894679069519043,-32.980525493621826,-31.987574100494385,-22.069275379180908,0.9844698309898376,0.27670568227767944,0.33396342396736145
18,466041.02402006224,6900936.155610287,276,16,30,132,-21.032872200012207,-30.715763568878174,-31.117007732391357,-21.15459680557251,0.9757521152496338,0.33003687858581543,0.3282991349697113
19,466061.4688664448,6900005.324569713,277,15,4,133,-21.487712860107422,-33.010621070861816,-32.51773118972778,-20.759766101837158,1.1085305213928223,0.26728224754333496,0.2573820948600769
20,467201.70131114614,6900245.364751172,278,17,8,132,-21.25380277633667,-32.20055103302002,-31.88523292541504,-21.568603515625,0.9653127193450928,0.28924140334129333,0.3165402114391327
21,466077.46103383385,6899115.985018583,279,14,14,135,-19.637374877929688,-30.72988748550415,-33.66602897644043,-20.317363739013672,0.9256309270858765,0.2776952385902405,0.2159624993801117
22,465035.5690598987,6899482.271570946,280,12,24,133,-20.699989795684814,-30.739030838012695,-31.16734743118286,-20.943307876586914,0.9908277988433838,0.3230234980583191,0.3086673617362976
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20180501/RS2_20180501_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_S_thicknesses_WGS84.shp
