,long,lat,OBJECTID,Snow,Ice,ID_Map,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
11,515864.7432000006,6893622.0757,13,10.0,,,-20.50607919692993,-31.124262809753418,-32.039313316345215,-20.532026290893555,0.9958680868148804,0.2985328137874603,0.27045074105262756
12,515853.8301999996,6893605.982,14,14.0,,,-19.539769887924194,-31.300735473632812,-31.46308660507202,-19.898269176483154,0.9450575113296509,0.25918760895729065,0.27819156646728516
13,515838.3578000001,6893584.853700002,15,14.0,,,-19.49236750602722,-30.03077983856201,-31.14223003387451,-19.801907539367676,0.9663968086242676,0.310275137424469,0.2869349420070648
14,515824.0604999998,6893568.5215,16,10.0,,,-20.281033515930176,-29.619364738464355,-30.725791454315186,-20.93424081802368,0.9481660723686218,0.35165512561798096,0.32770979404449463
15,515808.41110000096,6893551.737300001,17,10.0,,,-20.170762538909912,-29.74315881729126,-30.78044891357422,-20.121371746063232,1.007142186164856,0.33343106508255005,0.2941584885120392
16,515792.1501999998,6893532.053800002,18,10.0,,,-20.23547887802124,-30.77570676803589,-30.78765630722046,-20.07866859436035,1.0155142545700073,0.2985325753688812,0.2947860062122345
17,515778.21540000016,6893516.057599999,19,10.0,,,-20.635759830474854,-31.111457347869873,-31.423428058624268,-20.067546367645264,1.0648058652877808,0.29989686608314514,0.2767377197742462
18,515763.34780000034,6893499.054499999,20,6.0,,,-20.547263622283936,-30.494778156280518,-31.671748161315918,-19.23574209213257,1.1671333312988281,0.3186642527580261,0.24137233197689056
19,515747.9577000004,6893482.383299999,21,6.0,,,-19.08480405807495,-30.590648651123047,-30.41224718093872,-18.286380767822266,1.099412202835083,0.2699456512928009,0.2519882321357727
20,515735.67970000044,6893468.4003,22,11.0,,,-17.81805992126465,-30.71202039718628,-29.87644672393799,-17.296727895736694,1.0789090394973755,0.23173418641090393,0.23666314780712128
21,515720.6053999995,6893450.950800002,23,9.0,,,-18.270810842514038,-30.200884342193604,-29.14743185043335,-17.72942066192627,1.0705374479293823,0.2547423243522644,0.2700454592704773
22,515707.29290000047,6893435.403499997,24,6.0,,,-18.24575662612915,-29.922726154327393,-28.705945014953613,-18.118984699249268,1.0194766521453857,0.26066797971725464,0.2960461974143982
23,515693.61820000067,6893419.297499999,25,4.0,,,-17.35304832458496,-29.30410146713257,-28.46848726272583,-17.776052951812744,0.9660480618476868,0.2589538097381592,0.2982710301876068
24,515676.5097999998,6893402.395699999,26,6.0,,,-18.454655408859253,-29.472556114196777,-28.928391933441162,-18.938603401184082,0.9655843377113342,0.29036542773246765,0.3186131417751312
25,515661.23319999984,6893383.497299998,27,10.0,,,-19.199204444885254,-29.818150997161865,-30.74867010116577,-19.7886860370636,0.9403002858161926,0.29154181480407715,0.2835919260978699
26,515645.3852000005,6893364.2621,28,4.0,,,-18.27975034713745,-30.323891639709473,-30.762321949005127,-19.73639726638794,0.8485442996025085,0.24841949343681335,0.28521233797073364
27,515621.41380000045,6893344.655099999,29,11.0,,,-17.983551025390625,-31.31620168685913,-30.6200909614563,-18.381328582763672,0.9557694792747498,0.21718207001686096,0.24961060285568237
28,515613.0610999999,6893326.3459,30,9.0,,,-18.363932371139526,-31.870136260986328,-29.832065105438232,-18.704625368118286,0.9571383595466614,0.2086905539035797,0.28374308347702026
29,515612.7944999997,6893327.681600001,31,7.0,,,-18.363932371139526,-31.870136260986328,-29.832065105438232,-18.704625368118286,0.9571383595466614,0.2086905539035797,0.28374308347702026
30,515612.7944999997,6893327.681600001,32,17.0,,,-18.363932371139526,-31.870136260986328,-29.832065105438232,-18.704625368118286,0.9571383595466614,0.2086905539035797,0.28374308347702026
31,515567.88389999943,6893274.4452,33,6.0,75,,-18.8143789768219,-30.86115598678589,-30.099663734436035,-18.358832597732544,1.0631484985351562,0.2560456395149231,0.2652026116847992
32,515550.5832000002,6893253.755399999,34,13.0,69,,-17.25368857383728,-31.036994457244873,-29.54155206680298,-17.20056653022766,1.00299072265625,0.20815856754779816,0.247542604804039
33,515531.5986000004,6893236.7343999995,35,10.0,73,,-17.462239265441895,-30.991199016571045,-29.800634384155273,-17.178210020065308,1.0496792793273926,0.2171420454978943,0.23636414110660553
34,515511.2699999994,6893217.4791,36,6.0,80,,-19.00179147720337,-30.35599708557129,-31.626806259155273,-18.030630350112915,1.1442384719848633,0.2781236469745636,0.209294855594635
35,515495.87929999985,6893200.3634,37,6.0,81,,-18.701534271240234,-30.291168689727783,-30.349440574645996,-17.482740879058838,1.157508373260498,0.26793086528778076,0.22800028324127197
36,515482.53519999975,6893179.914999999,38,6.0,78,,-17.879912853240967,-30.47203302383423,-30.01444101333618,-17.77010679244995,1.0264179706573486,0.24143606424331665,0.24585632979869843
37,515466.89910000033,6893159.456199999,39,8.0,73,,-16.221349239349365,-30.037474632263184,-29.733572006225586,-16.691815853118896,0.9513315558433533,0.20452840626239777,0.2251412272453308
38,514755.8978000001,6892117.865800001,49,3.0,,,-17.030222415924072,-30.970947742462158,-30.011799335479736,-17.49850034713745,0.9479103088378906,0.20262357592582703,0.2395290583372116
39,514763.75770000013,6892131.491599999,50,7.0,,,-17.19346046447754,-30.30735731124878,-30.021674633026123,-17.722344398498535,0.9362103939056396,0.2224971354007721,0.24715949594974518
40,514773.2511999995,6892140.891199999,51,4.0,,,-17.507208585739136,-29.21471118927002,-30.36269187927246,-17.81421422958374,0.9747629761695862,0.2645031809806824,0.23964914679527283
41,514781.02379999985,6892150.617400001,52,3.0,,,-17.109134197235107,-28.81129741668701,-30.469281673431396,-17.217015027999878,1.000898003578186,0.26886773109436035,0.22373344004154205
42,514789.8383999995,6892160.348200002,53,4.0,,,-16.40917181968689,-28.696796894073486,-30.301706790924072,-16.413044929504395,1.015292763710022,0.25276556611061096,0.20664548873901367
43,514798.0735,6892171.524799999,54,5.0,,,-15.901885032653809,-28.51947784423828,-29.968161582946777,-15.886605978012085,1.0196775197982788,0.24137233197689056,0.1998962163925171
44,514807.35639999964,6892181.369199999,55,2.0,,,-15.49502968788147,-27.986621856689453,-29.418067932128906,-15.52897334098816,1.0050212144851685,0.24064770340919495,0.20297878980636597
45,514815.3206000003,6892194.884100001,56,29.0,,,-15.515744686126709,-27.75015115737915,-29.21663999557495,-15.252460241317749,1.040553092956543,0.2494165450334549,0.20211085677146912
46,514823.7147000003,6892205.392999998,57,3.0,,,-15.319658517837524,-28.178656101226807,-29.399878978729248,-14.647489786148071,1.0835635662078857,0.2296072244644165,0.18497902154922485
47,514831.16710000014,6892216.789099999,58,4.0,,,-15.424840450286865,-28.974239826202393,-29.38786745071411,-14.617193937301636,1.1028674840927124,0.2077934890985489,0.18415547907352448
48,514839.2004000006,6892226.405200002,59,5.0,,,-15.953319072723389,-29.890005588531494,-29.258334636688232,-15.10579228401184,1.1192845106124878,0.2021290361881256,0.20075282454490662
49,514847.4326999996,6892238.138900001,60,2.0,,,-17.04300880432129,-30.750396251678467,-29.60949182510376,-16.28936767578125,1.1050831079483032,0.21190591156482697,0.21787963807582855
50,514855.51110000006,6892249.315000002,61,5.0,,,-17.208073139190674,-30.4581356048584,-29.979267120361328,-16.596765518188477,1.0818302631378174,0.22158193588256836,0.21638190746307373
51,514863.2262000001,6892260.155200001,62,6.0,,,-16.886568069458008,-30.15897274017334,-30.1777982711792,-16.575952768325806,1.0440478324890137,0.2216431051492691,0.21354646980762482
52,514870.9884999998,6892272.1098,63,8.0,,,-17.16099739074707,-30.223851203918457,-30.07594108581543,-17.1748149394989,1.0051428079605103,0.23254668712615967,0.23789778351783752
53,514878.0758999994,6892283.504299997,64,7.0,,,-17.868329286575317,-30.13172149658203,-29.990863800048828,-17.776763439178467,1.0215564966201782,0.2567744255065918,0.25736647844314575
54,514885.5893999998,6892292.784000002,65,7.0,,,-18.64518404006958,-30.410971641540527,-29.96375322341919,-18.730380535125732,1.0239858627319336,0.2682304084300995,0.2764444649219513
55,514893.4012000005,6892305.295899998,66,5.0,,,-17.998110055923462,-30.71160078048706,-29.991846084594727,-18.689159154891968,0.9442833065986633,0.23652955889701843,0.27423718571662903
56,514900.8074000006,6892315.243599999,67,3.0,,,-17.44156241416931,-30.639424324035645,-30.01742124557495,-18.300304412841797,0.9113664031028748,0.22113780677318573,0.2647310197353363
57,514911.6314000002,6892329.885400001,68,11.0,,,-17.370762825012207,-30.428109169006348,-30.054292678833008,-17.64656662940979,0.973849892616272,0.22559206187725067,0.24715779721736908
58,514920.7374999997,6892344.1855,69,4.0,,,-17.702319622039795,-30.81516742706299,-30.485994815826416,-17.658874988555908,1.0097123384475708,0.22397369146347046,0.2314750701189041
59,514931.2520999998,6892358.046200001,70,28.0,,,-18.193953037261963,-31.20774507522583,-31.760413646697998,-18.05575132369995,1.022933006286621,0.22601842880249023,0.207567498087883
60,514942.42369999987,6892376.477499999,71,4.0,,,-17.356961965560913,-30.80761194229126,-31.306283473968506,-17.451080083847046,1.0108412504196167,0.21810299158096313,0.20320867002010345
61,514952.0968000003,6892392.116999999,72,7.0,,,-17.12652325630188,-30.649495124816895,-30.614924430847168,-17.840991020202637,0.9315774440765381,0.2152577042579651,0.23488855361938477
62,514957.9552999989,6892410.302000001,73,5.0,,,-17.782039642333984,-31.073901653289795,-30.673542022705078,-17.97025203704834,0.9956335425376892,0.2210775762796402,0.24160775542259216
63,514967.88910000044,6892425.8314000005,74,6.0,,,-18.62945795059204,-31.189982891082764,-30.643889904022217,-16.82600498199463,1.2390835285186768,0.23754197359085083,0.21080322563648224
64,514979.00770000013,6892444.373900001,75,5.0,,,-18.462425470352173,-31.00517511367798,-30.55232048034668,-15.718907117843628,1.3768709897994995,0.23585182428359985,0.18252715468406677
65,514999.8017000004,6892477.887800001,77,8.0,,,-18.6424720287323,-31.370713710784912,-30.824780464172363,-17.16372013092041,1.1898307800292969,0.23377738893032074,0.2090081423521042
66,515009.11050000024,6892493.303100001,78,11.0,,,-18.824695348739624,-30.849788188934326,-31.123766899108887,-18.003723621368408,1.1121052503585815,0.2542168200016022,0.22619213163852692
67,515018.4162000005,6892509.386799999,79,8.0,,,-19.14769172668457,-29.889812469482422,-30.312654972076416,-18.72316837310791,1.0673115253448486,0.2943481206893921,0.2684866487979889
68,515028.7637,6892525.475200001,80,2.0,,,-18.19511890411377,-28.995542526245117,-29.667489528656006,-18.589941263198853,0.951158881187439,0.29037225246429443,0.2882072329521179
69,515036.8815,6892539.2140999995,81,6.0,,,-17.666504383087158,-28.71849536895752,-30.133719444274902,-18.539881706237793,0.9005802869796753,0.2831152081489563,0.2701358199119568
70,515046.25200000027,6892552.4017,82,2.0,,,-17.69573450088501,-29.991261959075928,-31.61600351333618,-17.672494649887085,1.000343918800354,0.24601799249649048,0.2147170454263687
71,515054.8851,6892567.368500002,83,8.0,,,-17.6671302318573,-30.449023246765137,-32.14442729949951,-16.869152784347534,1.1176315546035767,0.2341333031654358,0.17404697835445404
72,515073.42080000066,6892592.962999999,84,7.0,86,,-17.2288978099823,-29.208354949951172,-30.92329502105713,-17.076637744903564,1.0298160314559937,0.26242777705192566,0.21212419867515564
73,515087.03570000065,6892612.1855,85,8.0,83,,-17.797255516052246,-30.023021697998047,-30.03941059112549,-17.514203786849976,1.0330901145935059,0.25224635004997253,0.2565999925136566
74,515104.7920000004,6892637.2195999995,86,5.0,86,,-20.968356132507324,-31.641900539398193,-29.70289707183838,-19.733997583389282,1.1624667644500732,0.2928057909011841,0.321905255317688
75,515119.33469999937,6892658.563099999,87,4.0,87,,-19.09488320350647,-30.10911464691162,-29.405555725097656,-18.51777672767639,1.119088888168335,0.2947084903717041,0.2902887761592865
76,515137.1580999999,6892680.144200001,88,4.0,87,,-17.156832218170166,-29.13740873336792,-29.701199531555176,-17.257444858551025,0.9929506778717041,0.2534865736961365,0.24198922514915466
77,515156.39670000016,6892699.726399999,89,5.0,87,,-17.076724767684937,-29.90180015563965,-30.77733278274536,-17.269476652145386,0.9857541918754578,0.23042544722557068,0.21187420189380646
78,515174.12100000016,6892720.081799999,90,5.0,85,,-17.403851747512817,-30.428905487060547,-30.9847092628479,-17.534785270690918,0.996142566204071,0.2264113873243332,0.2133273333311081
79,515191.5080000002,6892734.308499998,91,5.0,76,,-17.800525426864624,-29.79994773864746,-30.64487934112549,-17.748963832855225,1.0139920711517334,0.258991539478302,0.23287610709667206
80,515215.21349999955,6892733.524,92,5.0,74,,-19.02124047279358,-29.986824989318848,-31.286613941192627,-19.276176691055298,0.9740466475486755,0.28123462200164795,0.25460031628608704
81,515223.03369999945,6892766.758000001,93,10.0,85,,-18.441919088363647,-30.836853981018066,-30.036029815673828,-18.95471692085266,0.9449797868728638,0.24779413640499115,0.28589704632759094
82,515240.41220000025,6892782.767400001,94,7.0,79,,-17.118098735809326,-31.167092323303223,-30.23669719696045,-17.84588098526001,0.9246942400932312,0.20237983763217926,0.24315056204795837
83,515256.04789999995,6892804.005,95,5.0,65,,-18.0832302570343,-29.870150089263916,-30.717244148254395,-17.956496477127075,1.0238450765609741,0.2660932242870331,0.23450130224227905
84,515270.74269999994,6892825.9069,96,9.0,76,,-19.649512767791748,-28.03985357284546,-29.41927194595337,-19.739054441452026,0.9744094014167786,0.38119155168533325,0.3466447591781616
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20180201/RS2_20180201_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_transect_noship_WGS84.shp
# combined with notransect
