,long,lat,OBJECTID_1,ID_Map,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,652109.3851286429,6832639.990606482,1,K_1,4.0,71.0,-19.457261562347412,-30.600976943969727,-29.80402946472168,-19.20587420463562,1.0373741388320923,0.2813735902309418,0.29685091972351074
1,653599.0310036511,6832300.832422751,2,K_2,5.0,68.0,-20.667858123779297,-31.268699169158936,-30.830016136169434,-21.615724563598633,0.8919377326965332,0.3064316511154175,0.36268603801727295
2,655289.2958057654,6832316.305248093,3,K_3,9.0,64.0,-21.271202564239502,-31.390645503997803,-31.05823278427124,-21.70271635055542,0.9591712355613708,0.31876465678215027,0.35308676958084106
3,657071.5047811214,6832127.641070447,4,K_4,7.0,68.0,-18.10051679611206,-30.335562229156494,-31.33280038833618,-18.811686038970947,0.9227837324142456,0.24357767403125763,0.23603028059005737
4,656593.2109261975,6833496.186440047,5,K_5,11.0,66.0,-20.864145755767822,-30.1420259475708,-30.144774913787842,-21.68375015258789,0.9102790951728821,0.34355032444000244,0.37878283858299255
5,658005.2291650492,6833287.245202777,6,K_6,13.0,59.0,-20.456998348236084,-30.131702423095703,-29.982292652130127,-19.45784091949463,1.1172058582305908,0.33081576228141785,0.30501505732536316
6,656945.147875905,6834753.870779942,7,K_7,7.0,69.0,-20.91975212097168,-31.331984996795654,-29.946608543395996,-20.55321216583252,1.0404149293899536,0.3019821047782898,0.3451814353466034
7,658199.3282281555,6835070.604755106,8,K_8,9.0,68.0,-21.57623291015625,-30.88761568069458,-31.739397048950195,-20.448579788208008,1.1392728090286255,0.3425227403640747,0.2709037661552429
8,658414.9325397064,6836308.960429978,9,K_9,7.0,65.0,-14.627565145492554,-29.652974605560303,-30.18676519393921,-15.591298341751099,0.8950803875923157,0.17701128125190735,0.18880558013916016
9,659491.3961503301,6836798.307141807,10,K_17,7.0,82.0,-19.699424505233765,-30.918574333190918,-30.23386001586914,-19.8059344291687,0.9890390038490295,0.2716270685195923,0.302540123462677
10,660114.8158461477,6837541.905361656,11,K_18,7.0,71.0,-15.300519466400146,-28.895764350891113,-28.88478994369507,-15.68670392036438,0.9802011847496033,0.2198612093925476,0.2242184281349182
11,661369.4778744222,6837137.921435035,12,K_19,15.0,59.0,-21.348228454589844,-29.91818904876709,-30.425424575805664,-20.650105476379395,1.1071841716766357,0.39017027616500854,0.33110037446022034
12,660575.2083259482,6836033.067293327,13,K_16,14.0,71.0,-22.497286796569824,-30.139901638031006,-32.152748107910156,-22.075555324554443,1.0426034927368164,0.4321002960205078,0.33097735047340393
13,659288.008241898,6835550.717821336,14,K_15,9.0,67.0,-21.34416103363037,-31.879525184631348,-30.495476722717285,-21.61149501800537,0.9760744571685791,0.29892697930336,0.36268216371536255
14,658596.3716030966,6834203.600422326,15,K_14,11.0,67.0,-22.10232973098755,-30.73023557662964,-30.58494806289673,-21.72475576400757,1.0447626113891602,0.37495091557502747,0.3676132261753082
15,659319.2919589854,6833474.023500107,16,K_10,6.0,61.0,-22.674806118011475,-30.418031215667725,-31.819894313812256,-21.73060894012451,1.1380728483200073,0.44829875230789185,0.3364143669605255
16,660368.6032447927,6834427.058950951,17,K_13,10.0,65.0,-22.52643346786499,-30.723297595977783,-30.232174396514893,-22.47020959854126,1.008488655090332,0.39817696809768677,0.42831799387931824
17,661049.3509607257,6834863.917696279,18,K_12,25.0,62.0,-18.25756311416626,-27.94926881790161,-29.255151748657227,-19.355851411819458,0.9399745464324951,0.35478582978248596,0.3247889280319214
