,long,lat,OBJECTID_1,ID_1,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,652109.3851286429,6832639.990606482,1.0,1.0,0.0,105.0,-18.393840789794922,-28.85056972503662,-28.58928680419922,-17.90276527404785,1.0630120038986206,0.2996063232421875,0.2916003465652466
1,657071.5047811214,6832127.641070447,2.0,4.0,25.0,99.0,-17.487924098968506,-26.042654514312744,-26.30434274673462,-17.65889883041382,1.0418277978897095,0.41007399559020996,0.3813099265098572
2,656593.2109261975,6833496.186440047,3.0,5.0,11.0,92.0,-16.73594355583191,-28.86716604232788,-27.137925624847412,-17.717711925506592,0.9322525262832642,0.2603122293949127,0.3422783315181732
3,656945.147875905,6834753.870779942,4.0,7.0,7.0,102.0,-17.435530424118042,-28.30378770828247,-27.931835651397705,-16.569775342941284,1.1080923080444336,0.29600614309310913,0.2765601575374603
4,658199.3282281555,6835070.604755106,5.0,8.0,26.0,99.0,-16.571391820907593,-28.69147539138794,-28.89798402786255,-17.669501304626465,0.8915969133377075,0.25191643834114075,0.27443867921829224
5,658414.9325397064,6836308.960429978,6.0,9.0,11.0,93.0,-15.293689966201782,-27.352294921875,-28.509504795074463,-15.222002267837524,1.0104691982269287,0.24964334070682526,0.21648220717906952
6,659491.3961503301,6836798.307141807,7.0,17.0,15.0,107.0,-16.57115340232849,-27.67021894454956,-27.44055986404419,-17.178884744644165,0.9268242120742798,0.2788771688938141,0.3183321952819824
7,660114.8158461477,6837541.905361656,8.0,18.0,22.0,104.0,-14.331316947937012,-27.64030694961548,-27.853076457977295,-14.653927087783813,0.975490391254425,0.22077511250972748,0.22085101902484894
8,661369.4778744222,6837137.921435035,9.0,19.0,24.0,90.0,-17.975807189941406,-29.091041088104248,-29.226012229919434,-17.84530520439148,1.0230278968811035,0.2755744755268097,0.27398228645324707
9,659288.008241898,6835550.717821336,10.0,15.0,30.0,95.0,-18.78091335296631,-28.96395206451416,-29.49580669403076,-17.74123787879944,1.1246442794799805,0.3079395890235901,0.26101312041282654
10,658596.3716030966,6834203.600422326,11.0,14.0,25.0,102.0,-16.973135471343994,-27.94637441635132,-28.04304838180542,-18.355902433395386,0.8687986731529236,0.29312047362327576,0.34141433238983154
11,659319.2919589854,6833474.023500107,12.0,10.0,27.0,104.0,-15.7243013381958,-27.872273921966553,-27.509934902191162,-16.390726566314697,0.9290464520454407,0.24722403287887573,0.2879505455493927
12,660368.6032447927,6834427.058950951,13.0,13.0,37.0,100.0,-18.757437467575073,-28.430919647216797,-29.732110500335693,-19.683403968811035,0.8986358046531677,0.33724522590637207,0.3248627781867981
13,661049.3509607257,6834863.917696279,14.0,12.0,51.0,96.0,-15.978477001190186,-27.69592523574829,-30.111687183380127,-15.995930433273315,1.0200908184051514,0.267045795917511,0.1980564445257187
14,660803.961825695,6833485.528791518,15.0,11.0,37.0,109.0,-16.56997799873352,-29.07564640045166,-27.924532890319824,-17.79437780380249,0.8737218976020813,0.23721490800380707,0.3087761402130127
15,659501.3911845486,6842929.759442864,17.0,30.0,3.0,103.0,-16.243795156478882,-28.575916290283203,-27.28708028793335,-16.60026788711548,1.0013294219970703,0.2531602382659912,0.29104653000831604
16,661368.212964727,6843046.3934689285,18.0,29.0,24.0,100.0,-17.29986310005188,-29.672014713287354,-28.242511749267578,-17.543786764144897,0.9704796671867371,0.24241706728935242,0.29242125153541565
17,660384.9061872311,6842050.426604025,19.0,27.0,22.0,105.0,-17.70034670829773,-27.920656204223633,-26.779146194458008,-18.76119613647461,0.9118232727050781,0.31665337085723877,0.39791378378868103
18,661594.2211101577,6841163.705939616,20.0,26.0,27.0,103.0,-15.356111526489258,-28.86871099472046,-28.609652519226074,-16.6626238822937,0.8625027537345886,0.21352516114711761,0.25531622767448425
19,660238.6838276268,6840250.760922391,21.0,23.0,5.0,105.0,-15.537253618240356,-27.352662086486816,-27.85710334777832,-15.204479694366455,1.0452089309692383,0.25661030411720276,0.23311226069927216
20,660843.1761225812,6838474.367494,23.0,21.0,30.0,99.0,-18.033841848373413,-27.785403728485107,-28.379430770874023,-16.383670568466187,1.231374740600586,0.32637134194374084,0.2546587288379669
