,long,lat,OBJECTID,ID_1,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,514632.62716436666,6892165.4562283205,1.0,10.0,153.0,0.0,-22.0163893699646,-31.11164093017578,-31.880652904510498,-22.53589153289795,0.9447888135910034,0.3540195822715759,0.34264492988586426
1,513983.7388606032,6893000.8049634015,2.0,9.0,155.0,2.0,-23.97669792175293,-32.1009635925293,-32.331299781799316,-22.62185573577881,1.1810301542282104,0.39923274517059326,0.33336642384529114
2,514008.35971439874,6894045.9977485025,3.0,8.0,109.0,25.0,-16.46374821662903,-26.253795623779297,-27.13613986968994,-16.621415615081787,0.9757497310638428,0.33534905314445496,0.31198251247406006
3,512913.7855631754,6895126.492028484,4.0,7.0,131.0,18.0,-15.924615859985352,-28.059804439544678,-28.111929893493652,-16.018282175064087,0.9857158064842224,0.24640615284442902,0.24847273528575897
4,513997.6663933948,6896019.386129912,5.0,6.0,120.0,25.0,-17.30618953704834,-29.96910333633423,-31.414740085601807,-18.05402636528015,0.9176355600357056,0.2328086644411087,0.2141653448343277
5,514999.95561376965,6895031.85386001,6.0,5.0,133.0,33.0,-23.447530269622803,-31.610894203186035,-32.54936456680298,-23.518171310424805,1.0109264850616455,0.39961308240890503,0.3625490963459015
6,515031.72798080224,6894023.21967075,7.0,4.0,152.0,14.0,-24.336411952972412,-32.57866144180298,-32.15070962905884,-24.384829998016357,1.0038361549377441,0.3910022974014282,0.4119023382663727
7,516126.70807405835,6893053.59037616,8.0,3.0,147.0,8.0,-24.611046314239502,-31.606078147888184,-32.44118690490723,-24.723660945892334,0.9984095692634583,0.4469445049762726,0.42218467593193054
8,515767.0555101724,6891612.201598297,9.0,2.0,138.0,20.0,-23.925232887268066,-32.16151475906372,-31.622719764709473,-24.91537570953369,0.8923724293708801,0.38690653443336487,0.47100648283958435
9,515842.0618951835,6891052.408061365,10.0,1.0,147.0,5.0,-24.955320358276367,-32.48347043991089,-32.12790489196777,-24.33762550354004,1.1042269468307495,0.44522419571876526,0.4252969026565552
10,517051.0303935684,6889962.625502263,12.0,11.0,134.0,23.0,-23.495585918426514,-30.461814403533936,-30.9714937210083,-23.36505651473999,1.0159010887145996,0.45094239711761475,0.4284365773200989
11,518236.01014381915,6888872.362792415,13.0,12.0,155.0,0.0,-23.93674373626709,-31.894207000732422,-31.788718700408936,-24.895055294036865,0.8955672979354858,0.3990767002105713,0.45243605971336365
12,519426.7210369333,6888388.701244223,14.0,13.0,140.0,10.0,-18.227131366729736,-30.476431846618652,-29.350509643554688,-17.379443645477295,1.1080766916275024,0.27162522077560425,0.2833331227302551
13,518245.8503502447,6889735.02692349,15.0,14.0,165.0,13.0,-24.149372577667236,-31.15347385406494,-32.20796585083008,-24.491147994995117,0.9775486588478088,0.4527272880077362,0.40855321288108826
14,517939.6539186111,6890114.839048622,16.0,15.0,140.0,29.0,-23.260343074798584,-32.485408782958984,-31.225745677947998,-24.05663013458252,0.9238858819007874,0.3515350818634033,0.4483100175857544
15,517890.49720815936,6890793.037058212,17.0,17.0,122.0,40.0,-20.122032165527344,-31.788575649261475,-31.575424671173096,-20.990159511566162,0.9078753590583801,0.2710471451282501,0.30487990379333496
16,514923.5847975387,6892866.687931566,18.0,1.0,130.0,30.0,-21.314659118652344,-33.38212013244629,-32.33751058578491,-22.431766986846924,0.8737475872039795,0.2509770095348358,0.33573463559150696
17,513744.33817983075,6894880.672963875,19.0,2.0,155.0,5.0,-20.73030948638916,-31.694116592407227,-32.674877643585205,-21.092476844787598,0.9722012877464294,0.2868543863296509,0.26457858085632324
18,512803.17850907583,6895795.503532725,20.0,3.0,131.0,22.0,-21.059482097625732,-31.556222438812256,-31.802866458892822,-21.885976791381836,0.9108215570449829,0.2951141893863678,0.32157430052757263
19,516277.5159304528,6891451.526660795,21.0,4.0,165.0,0.0,-18.82438063621521,-29.799315929412842,-28.57167959213257,-19.133834838867188,0.9647990465164185,0.2883703410625458,0.3543641269207001
20,519298.3860041852,6888675.61500224,22.0,5.0,173.0,6.0,-18.995587825775146,-31.397075653076172,-30.070486068725586,-20.34618854522705,0.8623095154762268,0.2426435798406601,0.3305881917476654
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20160424/RS2_20160424_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1604_D_thicknesses_WGS84.shp
